image,resolution,grid_size,runtime_sec
test_image_1_1024.png,1024,16,0.003573894500732422
test_image_1_1024.png,1024,32,0.0038993358612060547
test_image_1_1024.png,1024,64,0.004998922348022461
test_image_1_256.png,256,16,0.002744913101196289
test_image_1_256.png,256,32,0.0032460689544677734
test_image_1_256.png,256,64,0.004737138748168945
test_image_1_512.png,512,16,0.002810955047607422
test_image_1_512.png,512,32,0.0034089088439941406
test_image_1_512.png,512,64,0.004761934280395508
test_image_2_1024.png,1024,16,0.002937793731689453
test_image_2_1024.png,1024,32,0.002930879592895508
test_image_2_1024.png,1024,64,0.0040242671966552734
test_image_2_256.png,256,16,0.002402067184448242
test_image_2_256.png,256,32,0.002981901168823242
test_image_2_256.png,256,64,0.004183769226074219
test_image_2_512.png,512,16,0.002373933792114258
test_image_2_512.png,512,32,0.0027799606323242188
test_image_2_512.png,512,64,0.00380706787109375
test_image_3_1024.png,1024,16,0.002454996109008789
test_image_3_1024.png,1024,32,0.0028121471405029297
test_image_3_1024.png,1024,64,0.003832101821899414
test_image_3_256.png,256,16,0.0022809505462646484
test_image_3_256.png,256,32,0.0029261112213134766
test_image_3_256.png,256,64,0.003906965255737305
test_image_3_512.png,512,16,0.002270221710205078
test_image_3_512.png,512,32,0.002797842025756836
test_image_3_512.png,512,64,0.0037691593170166016
